"Prob","truePositive","falsePositive","species","Model"
0.716755983981902,0.0155038759689922,0.00116414435389988,"All","ElasticNet"
0.725945163263721,0.0155038759689922,0.00116414435389988,"All","ElasticNet"
0.73513434254554,0.00775193798449612,0.00116414435389988,"All","ElasticNet"
0.744323521827359,0.00775193798449612,0.00116414435389988,"All","ElasticNet"
0.753512701109179,0.00775193798449612,0.00116414435389988,"All","ElasticNet"
0.762701880390998,0.00775193798449612,0.00116414435389988,"All","ElasticNet"
0.771891059672817,0.00775193798449612,0.00116414435389988,"All","ElasticNet"
0.781080238954636,0.00775193798449612,0.00116414435389988,"All","ElasticNet"
0.790269418236456,0.00775193798449612,0.00116414435389988,"All","ElasticNet"
0.799458597518275,0.00775193798449612,0.00116414435389988,"All","ElasticNet"
