estimator,min_score,mean_score,max_score,std_score,max_depth,n_estimators,learning_rate,C,gamma,kernel,coef0,degree,n_neighbors,weights,alpha,l1_ratio,loss,penalty
XGB,0.6360424028268551,0.9168612854304005,0.9619565217391304,0.09408680292701402,12,,0.001,,0,,,,,,,,,
XGB,0.33789954337899547,0.9162812547359135,0.9890710382513661,0.19290361242320145,3,,1,,0.5,,,,,,,,,
GradientBoostingClassifier,0.31627906976744186,0.9158974156372132,0.9918256130790191,0.19994534904791,,16,0.5,,,,,,,,,,,
GradientBoostingClassifier,0.3004694835680751,0.915198881983246,0.9917808219178083,0.20501619515093106,,128,1,,,,,,,,,,,
RandomForestClassifier,0.7272727272727273,0.9123656895393308,0.9496021220159152,0.06287099058771431,6,8,,,,,,,,,,,,
AdaBoostClassifier,0.29245283018867924,0.9030703274309995,0.9810298102981029,0.20363220301863766,,128,1.0,,,,,,,,,,,
GradientBoostingClassifier,0.26794258373205737,0.9021331803047972,0.9890710382513661,0.21153075601533294,,32,1,,,,,,,,,,,
GradientBoostingClassifier,0.4621513944223108,0.9018684262833933,0.9675675675675676,0.14702357180502768,,32,0.05,,,,,,,,,,,
GradientBoostingClassifier,0.2830188679245283,0.8994189389083223,0.9863013698630136,0.20581647388145663,,16,1,,,,,,,,,,,
SVC,0.8636363636363636,0.8866870775086222,0.9033942558746737,0.013375489213356398,,,,50,0.0001,rbf,,,,,,,,
SVC,0.8624338624338624,0.8820542684726096,0.8981723237597911,0.013005510139305586,,,,1,0.001,rbf,,,,,,,,
AdaBoostClassifier,0.42500000000000004,0.8808070887506554,0.9408602150537635,0.1522000496921933,,32,1.0,,,,,,,,,,,
AdaBoostClassifier,0.5413533834586466,0.8772368383762185,0.9287598944591029,0.11269657584869094,,32,0.5,,,,,,,,,,,
GradientBoostingClassifier,0.5492957746478873,0.8713201236213906,0.9289617486338797,0.10897179154208109,,16,0.05,,,,,,,,,,,
XGB,0.6360655737704919,0.8617642891269099,0.9210526315789475,0.07748477961922763,6,,0.001,,0.1,,,,,,,,,
XGB,0.6360655737704919,0.8617642891269099,0.9210526315789475,0.07748477961922763,6,,0.001,,0.01,,,,,,,,,
XGB,0.6360655737704919,0.8617642891269099,0.9210526315789475,0.07748477961922763,6,,0.001,,0.5,,,,,,,,,
XGB,0.6360655737704919,0.8617642891269099,0.9210526315789475,0.07748477961922763,6,,0.001,,0.001,,,,,,,,,
XGB,0.6360655737704919,0.8617642891269099,0.9210526315789475,0.07748477961922763,6,,0.001,,0,,,,,,,,,
RandomForestClassifier,0.7096774193548386,0.8604071495873276,0.9,0.053636787852392,3,128,,,,,,,,,,,,
SGDClassifier,0.8217054263565892,0.8516565770788352,0.882051282051282,0.018416592368337797,,,,,,,,,,,0.01,0.1,hinge,elasticnet
SGDClassifier,0.8263157894736843,0.8486056349688174,0.8727272727272726,0.01455031433378688,,,,,,,,,,,0.0001,0.9,hinge,l1
SGDClassifier,0.82010582010582,0.847682929626977,0.8711340206185567,0.01624469986098896,,,,,,,,,,,0.0001,1,hinge,l1
SGDClassifier,0.8105263157894737,0.8452621261143165,0.884318766066838,0.022113787062064502,,,,,,,,,,,0.0001,0.5,hinge,l1
SGDClassifier,0.7921348314606742,0.8450952064180047,0.88659793814433,0.024438903824592784,,,,,,,,,,,0.0001,0.1,hinge,l1
SGDClassifier,0.8074866310160428,0.8445639140610448,0.8808290155440415,0.021282214415216414,,,,,,,,,,,0.0001,0.9,hinge,elasticnet
SGDClassifier,0.8044692737430167,0.8432007899598947,0.8939393939393938,0.02470182249802556,,,,,,,,,,,0.0001,0.95,hinge,l1
kNN,0.8235294117647058,0.8431128604830377,0.8557919621749408,0.009467234254696089,,,,,,,,,8,uniform,,,,
SGDClassifier,0.8042328042328042,0.8428701418513175,0.8956743002544529,0.025360525218910263,,,,,,,,,,,0.0001,0.95,hinge,elasticnet
SGDClassifier,0.8010752688172043,0.8420877030123393,0.884318766066838,0.02428335379818094,,,,,,,,,,,0.0001,0.99,hinge,elasticnet
RandomForestClassifier,0.6504559270516718,0.8417327697320941,0.8883116883116884,0.06661797088074152,3,32,,,,,,,,,,,,
SGDClassifier,0.7830985915492958,0.84166528953692,0.8900255754475703,0.030035144179029787,,,,,,,,,,,0.0001,0.99,hinge,l1
kNN,0.8235294117647058,0.841287974055805,0.8537735849056605,0.00921136840952619,,,,,,,,,8,distance,,,,
SGDClassifier,0.7885714285714285,0.8399842898290958,0.8935064935064936,0.025380340603959464,,,,,,,,,,,0.0001,1,hinge,elasticnet
SVC,0.8108108108108107,0.8393690482799043,0.8695652173913043,0.017214404364332244,,,,10,0.0001,rbf,,,,,,,,
SGDClassifier,0.7803468208092486,0.8389125201272293,0.8740359897172236,0.025791395337934363,,,,,,,,,,,0.0001,0.7,hinge,l1
RandomForestClassifier,0.6587537091988132,0.8354302469859336,0.8929503916449085,0.0638852275122222,3,16,,,,,,,,,,,,
AdaBoostClassifier,0.6179401993355482,0.8326274223829463,0.890625,0.0738728772887275,,16,0.5,,,,,,,,,,,
AdaBoostClassifier,0.6143790849673203,0.8317325576948221,0.882051282051282,0.07409093404724418,,128,0.05,,,,,,,,,,,
SGDClassifier,0.7855153203342619,0.8314594210455845,0.8825065274151436,0.024373976587833353,,,,,,,,,,,0.0001,0.9,log,elasticnet
