estimator,min_score,mean_score,max_score,std_score,max_depth,n_estimators,learning_rate,C,gamma,kernel,coef0,degree,n_neighbors,weights,alpha,l1_ratio,loss,penalty
SVC,0.9435897435897436,0.9678192487247752,0.9762532981530343,0.009773250678016389,,,,10,,poly,1,3,,,,,,
SVC,0.9435897435897436,0.9678061340343481,0.9762532981530343,0.009105946208972369,,,,50,,poly,0.5,2,,,,,,
SVC,0.9511568123393317,0.9677932754334865,0.9787234042553191,0.007885112132600007,,,,1,,poly,0.5,3,,,,,,
RandomForestClassifier,0.8928571428571429,0.9677550656045346,0.9891891891891892,0.025892503462421015,12,16,,,,,,,,,,,,
XGB,0.8178913738019169,0.9673544696417198,0.9945945945945946,0.050218235635063196,20,,0.05,,0,,,,,,,,,
XGB,0.8141025641025642,0.9672161162420989,0.9945945945945946,0.051378663433056186,20,,0.05,,0.01,,,,,,,,,
XGB,0.8129032258064516,0.9671134440735247,0.9946236559139785,0.05189091856174746,12,,0.05,,0.001,,,,,,,,,
XGB,0.8129032258064516,0.9668611641894579,0.9945945945945946,0.051757299616930104,12,,0.05,,0,,,,,,,,,
RandomForestClassifier,0.9011627906976744,0.9667920454871606,0.9893048128342246,0.024316229079567226,12,32,,,,,,,,,,,,
XGB,0.8064516129032258,0.9667348523185272,0.997289972899729,0.053848023992563984,12,,0.05,,0.01,,,,,,,,,
RandomForestClassifier,0.8275862068965517,0.9666924045447827,0.9946236559139785,0.047282578108746566,20,16,,,,,,,,,,,,
XGB,0.8025889967637541,0.9658235777825965,0.9945945945945946,0.05483594595298987,12,,0.05,,0.1,,,,,,,,,
SVC,0.9363867684478371,0.9657969320288133,0.9788359788359788,0.01086430742473472,,,,10,0.001,rbf,,,,,,,,
XGB,0.7987012987012987,0.9651541829069696,0.9945945945945946,0.05580893048499213,20,,0.05,,0.5,,,,,,,,,
SVC,0.9411764705882353,0.9647657751721981,0.9735449735449735,0.008712233194741521,,,,50,,poly,1,2,,,,,,
XGB,0.7397260273972603,0.9645930830167277,1.0,0.07513009169542278,12,,0.1,,0.01,,,,,,,,,
XGB,0.7788778877887789,0.9645503204960564,0.9973045822102425,0.06232627736476889,6,,0.05,,0.5,,,,,,,,,
XGB,0.7788778877887789,0.9642440674094173,0.9973045822102425,0.062131506374586705,6,,0.05,,0.1,,,,,,,,,
BaggingClassifier,0.8501529051987768,0.9641901249487068,0.9892473118279571,0.03858793885703656,,32,,,,,,,,,,,,
SVC,0.9387755102040816,0.9640145145657586,0.9709762532981531,0.00905545925739313,,,,10,,poly,1,2,,,,,,
XGB,0.752542372881356,0.9640138050042515,0.9973045822102425,0.07067058515318349,20,,0.1,,0.01,,,,,,,,,
XGB,0.7748344370860928,0.9638538808653973,0.9973045822102425,0.06343990735300524,6,,0.05,,0.01,,,,,,,,,
XGB,0.7788778877887789,0.9637336358879883,0.9973045822102425,0.061998665602769155,6,,0.05,,0.001,,,,,,,,,
XGB,0.7440273037542662,0.9634300593296912,0.9973045822102425,0.07334524346960093,12,,0.1,,0.1,,,,,,,,,
XGB,0.7482993197278911,0.9630646909260336,0.9973045822102425,0.07177922169603042,20,,0.1,,0,,,,,,,,,
XGB,0.7748344370860928,0.9627929681625383,0.9973045822102425,0.06307320949871706,6,,0.05,,0,,,,,,,,,
RandomForestClassifier,0.8588588588588588,0.9627910208387604,0.9866666666666666,0.03536773206465218,12,8,,,,,,,,,,,,
XGB,0.752542372881356,0.9627016843839883,0.9973045822102425,0.07025967420651971,20,,0.1,,0.001,,,,,,,,,
SVC,0.9363867684478371,0.962524254513743,0.9735449735449735,0.00989652456042355,,,,10,,poly,5,5,,,,,,
SVC,0.9363867684478371,0.962524254513743,0.9735449735449735,0.00989652456042355,,,,50,,poly,5,5,,,,,,
SVC,0.9363867684478371,0.962524254513743,0.9735449735449735,0.00989652456042355,,,,1,,poly,5,5,,,,,,
XGB,0.726643598615917,0.9619627981846538,0.9973045822102425,0.07861008163887179,12,,0.1,,0.001,,,,,,,,,
XGB,0.726643598615917,0.9619614527582382,1.0,0.07861967714104647,12,,0.1,,0,,,,,,,,,
XGB,0.7353951890034365,0.9612439054138819,0.9973045822102425,0.07547462073994883,20,,0.1,,0.1,,,,,,,,,
BaggingClassifier,0.822429906542056,0.9609203114749343,0.9919137466307278,0.04692893450634682,,16,,,,,,,,,,,,
XGB,0.7868852459016394,0.9605853776186514,0.9919571045576407,0.05821039678499339,20,,1,,0.5,,,,,,,,,
XGB,0.7241379310344828,0.9601064559459701,0.9973045822102425,0.07890210896478336,20,,0.1,,0.5,,,,,,,,,
XGB,0.7285223367697594,0.9592406270970436,0.9919571045576407,0.0770247717509374,20,,1,,0,,,,,,,,,
XGB,0.7177700348432056,0.959207184490167,0.9973045822102425,0.08069511715542653,12,,0.1,,0.5,,,,,,,,,
XGB,0.7241379310344828,0.958814960918738,0.9946236559139785,0.07835950045416121,20,,1,,0.01,,,,,,,,,
XGB,0.6950354609929079,0.9585398136066866,1.0,0.08804538068161234,6,,0.1,,0.1,,,,,,,,,
XGB,0.7285223367697594,0.9581924308514237,0.9919571045576407,0.07669798715645111,20,,1,,0.001,,,,,,,,,
XGB,0.6857142857142856,0.9581380322894173,1.0,0.09099390392534049,6,,0.1,,0,,,,,,,,,
XGB,0.6857142857142856,0.9578770864457635,1.0,0.09095470078325889,6,,0.1,,0.01,,,,,,,,,
SVC,0.9269521410579346,0.9575428917511475,0.968421052631579,0.010792611644883226,,,,10,,poly,5,3,,,,,,
SVC,0.9269521410579346,0.9575428917511475,0.968421052631579,0.010792611644883226,,,,50,,poly,5,3,,,,,,
XGB,0.6857142857142856,0.9573451699987776,1.0,0.0908236374811183,6,,0.1,,0.001,,,,,,,,,
SVC,0.9269521410579346,0.9570384954166713,0.9658792650918635,0.010503355223554733,,,,1,,poly,5,3,,,,,,
XGB,0.7346938775510203,0.9570268299449836,0.9973045822102425,0.07468919780077285,20,,1,,0.1,,,,,,,,,
SVC,0.9387755102040816,0.9567654150001058,0.9685863874345549,0.008893861595694627,,,,1,,poly,0.5,2,,,,,,
XGB,0.7087719298245615,0.9557479070306669,0.9946236559139785,0.08266940271620225,6,,1,,0.001,,,,,,,,,
XGB,0.6810035842293907,0.9555651178204766,0.9973045822102425,0.0918016901317504,3,,0.1,,0.1,,,,,,,,,
XGB,0.7087719298245615,0.9554869825693915,0.9946236559139785,0.08259314317405168,6,,1,,0,,,,,,,,,
SVC,0.9292929292929293,0.9550553586998196,0.9685863874345549,0.010471396829422918,,,,50,,poly,5,2,,,,,,
XGB,0.6810035842293907,0.9550417363208747,0.9973045822102425,0.09165312795287234,3,,0.1,,0.01,,,,,,,,,
XGB,0.6810035842293907,0.9550417363208747,0.9973045822102425,0.09165312795287234,3,,0.1,,0.001,,,,,,,,,
XGB,0.6810035842293907,0.9547807170759965,0.9973045822102425,0.09157384725084183,3,,0.1,,0,,,,,,,,,
XGB,0.652014652014652,0.9547637718546339,1.0,0.1010557741629699,6,,0.1,,0.5,,,,,,,,,
XGB,0.7241379310344828,0.9546532399341755,0.9919137466307278,0.0772079624193185,6,,1,,0.1,,,,,,,,,
SVC,0.934010152284264,0.9545374679132237,0.9685863874345549,0.009222314597489146,,,,1,,poly,1,2,,,,,,
XGB,0.6762589928057554,0.9542965256108635,0.9946236559139785,0.0928382955466999,12,,1,,0.001,,,,,,,,,
XGB,0.7372013651877133,0.9540996307191298,0.983957219251337,0.07255326680497505,6,,1,,0.5,,,,,,,,,
XGB,0.6618181818181819,0.9539036593627825,0.9973045822102425,0.09760544752439666,3,,0.1,,0.5,,,,,,,,,
SVC,0.9223057644110275,0.9538639657352865,0.9685863874345549,0.012330007796665302,,,,10,,poly,5,2,,,,,,
XGB,0.704225352112676,0.95339454171618,0.9919571045576407,0.08319117637128039,12,,1,,0.1,,,,,,,,,
XGB,0.6762589928057554,0.953239833778331,0.9946236559139785,0.09244758366006757,12,,1,,0,,,,,,,,,
RandomForestClassifier,0.7857142857142857,0.9530196614434157,0.9891891891891892,0.05685760153802826,20,8,,,,,,,,,,,,
XGB,0.6857142857142856,0.9528997832909866,0.9945945945945946,0.08928629145769211,12,,1,,0.01,,,,,,,,,
